Parameters2,,,,,,,,,,,,,
,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,SIS2A ADDRESS,SIS2B ADDRESS,SIS1A ADDRESS,SIS1B ADDRESS,PLC TAG,REMARK
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,AB,ALARM,SERIAL MODBUS,131,371,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,A8,ALARM,SERIAL MODBUS,132,372,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B1,ALARM,SERIAL MODBUS,133,373,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B2,ALARM,SERIAL MODBUS,134,374,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B3,ALARM,SERIAL MODBUS,135,375,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B4,ALARM,SERIAL MODBUS,136,376,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B5,ALARM,SERIAL MODBUS,137,377,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,B6,ALARM,SERIAL MODBUS,138,378,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,BC,ALARM,SERIAL MODBUS,139,379,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,C,ALARM,SERIAL MODBUS,140,380,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,C1,ALARM,SERIAL MODBUS,141,381,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,400V,C2,ALARM,SERIAL MODBUS,142,382,,,COMM.LINK,
1,063-CP-850000-011,UPS,063-UPS-50803-SGP2A,AUXILLARY,UPS-50803,ALARM,MODBUS TCP,,,126,366,COMM.LINK,
1,063-CP-850000-011,UPS,063-UPS-50565-SGP2A,AUXILLARY,UPS-50565,ALARM,MODBUS TCP,,,127,367,COMM.LINK,
1,063-CP-850000-011,SDC,063-DCC-50804-SGP2A,AUXILLARY,DCC-50804,ALARM,MODBUS TCP,,,128,368,COMM.LINK,
1,063-CP-850000-011,SDC,063-DCC-50804-SGP2A,AUXILLARY,DCC-50804,ALARM,MODBUS TCP,,,129,369,COMM.LINK,
1,063-CP-850000-011,SEPAM S81,INCOMER-A,10KV,A,ALARM,IEC 61850,,,130,370,COMM.LINK,
1,063-CP-850000-011,SOLKOR,INCOMER-A 87L PROT,10KV,A,ALARM,SERIAL MODBUS,143,383,,,COMM.LINK,
1,063-CP-850000-011,PM5310,INCOMER-A METERING,10KV,A,ALARM,MODBUS TCP,,,131,371,COMM.LINK,
1,063-CP-850000-011,NT935-A,TRANSFORMER TEMPERATURE SENSOR,10KV,NT935,ALARM,SERIAL MODBUS,144,384,,,COMM.LINK,
1,063-CP-850000-011,SEPAM S81,INCOMER-B,10KV,B,ALARM,IEC 61850,,,132,372,COMM.LINK,
1,063-CP-850000-011,SOLKOR,INCOMER-B 87L PROT,10KV,B,ALARM,SERIAL MODBUS,145,385,,,COMM.LINK,
1,063-CP-850000-011,PM5310,INCOMER-B METERING,10KV,B,ALARM,MODBUS TCP,,,133,373,COMM.LINK,
1,063-CP-850000-011,NT935-B,TRANSFORMER TEMPERATURE SENSOR,10KV,NT935,ALARM,SERIAL MODBUS,146,386,,,COMM.LINK,
1,063-CP-850000-011,NT935-C,TRANSFORMER TEMPERATURE SENSOR,10KV,NT935,ALARM,SERIAL MODBUS,147,387,,,COMM.LINK,
1,063-CP-850000-011,SEPAM B83,BUS TIE,10KV,A00-1,ALARM,IEC 61850,,,134,374,COMM.LINK,
1,063-CP-850000-011,SEPAM T87,AUXILLARY TR A 063-9700-TRF-50564A,10KV,A01-1,ALARM,IEC 61850,,,135,375,COMM.LINK,
1,063-CP-850000-011,SEPAM T87,AUXILLARY TR B 063-9700-TRF-50564B,10KV,B01-1,ALARM,IEC 61850,,,136,376,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,62-MG-209A,10KV,A02-1,ALARM,IEC 61850,,,137,377,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,62-MG-211A,10KV,A03-1,ALARM,IEC 61850,,,138,378,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,SPARE (MOTOR),10KV,A04-1,ALARM,IEC 61850,,,139,379,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,SPARE (TRF),10KV,A05-1,ALARM,IEC 61850,,,140,380,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,62-MG-209B,10KV,B02-1,ALARM,IEC 61850,,,141,381,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,62-MG-211B,10KV,B03-1,ALARM,IEC 61850,,,142,382,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,SPARE (MOTOR),10KV,B04-1,ALARM,IEC 61850,,,143,383,COMM.LINK,
1,063-CP-850000-011,SEPAM M81,SPARE (TRF),10KV,B05-1,ALARM,IEC 61850,,,144,384,COMM.LINK,
1,063-CP-850000-011,MICOM P741,BUS BAR PROTECTION,10KV,BB-1,ALARM,IEC 61850,,,145,385,COMM.LINK,
1,063-CP-850000-011,VAMP,VAMP ARC FLASH PROT,10KV,A,ALARM,MODBUS TCP,,,146,386,COMM.LINK,
1,063-CP-850000-011,VAMP,VAMPARC FLASH PROT,10KV,B,ALARM,MODBUS TCP,,,147,387,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,INCOMER-A,ALARM,SERIAL MODBUS,148,388,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,INCOMER-B,ALARM,SERIAL MODBUS,149,389,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,BUS TIE,ALARM,SERIAL MODBUS,150,390,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,AUX_TRA,ALARM,SERIAL MODBUS,151,391,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,AUX_TRB,ALARM,SERIAL MODBUS,152,392,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,62-MG-209A,ALARM,SERIAL MODBUS,153,393,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,62-MG-211A,ALARM,SERIAL MODBUS,154,394,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,SPARE,ALARM,SERIAL MODBUS,155,395,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,62-MG-209B,ALARM,SERIAL MODBUS,156,396,,,COMM.LINK,
1,063-CP-850000-011,EXERTHERM,TEMPERATURE SENSOR,10KV,62-MG-211B,ALARM,SERIAL MODBUS,157,397,,,COMM.LINK,
